Date,month,year,NAV,Amount_Invested,Units_Bought,,Day_of_Month,Occurrences,Total_Units_Bought,Avg_Units_Per_Occurrence
7,7,2016,27.7674,2000,72.0269,,26,75,2655.2367,35.4032
8,7,2016,27.7431,2000,72.09,,15,74,2596.6084,35.0893
11,7,2016,27.9376,2000,71.5881,,14,75,2627.5872,35.0345
12,7,2016,27.9064,2000,71.6681,,27,85,2974.9293,34.9992
13,7,2016,27.6562,2000,72.3165,,7,82,2861.141,34.892
14,7,2016,27.959,2000,71.5333,,22,83,2894.9523,34.8789
15,7,2016,27.8078,2000,71.9223,,28,82,2858.7549,34.8629
18,7,2016,27.6777,2000,72.2603,,20,83,2886.4396,34.7764
19,7,2016,27.6126,2000,72.4307,,21,79,2726.2739,34.5098
20,7,2016,27.9356,2000,71.5932,,3,83,2856.0441,34.4102
21,7,2016,27.764,2000,72.0357,,17,81,2785.945,34.3944
22,7,2016,27.9638,2000,71.521,,19,82,2819.3767,34.3826
25,7,2016,28.3896,2000,70.4483,,8,82,2817.9627,34.3654
26,7,2016,28.0854,2000,71.2114,,1,76,2607.1508,34.3046
27,7,2016,28.1828,2000,70.9653,,9,84,2873.3043,34.206
28,7,2016,28.3174,2000,70.628,,30,75,2562.7533,34.17
29,7,2016,28.2415,2000,70.8178,,31,49,1673.2578,34.1481
1,8,2016,28.0998,2000,71.1749,,18,82,2799.4916,34.1401
2,8,2016,27.9844,2000,71.4684,,23,84,2865.4257,34.1122
3,8,2016,27.6866,2000,72.2371,,24,82,2785.8991,33.9744
4,8,2016,27.7724,2000,72.0139,,16,84,2851.1812,33.9426
5,8,2016,28.2368,2000,70.8296,,29,73,2474.4166,33.8961
8,8,2016,28.3404,2000,70.5706,,25,75,2537.1378,33.8285
9,8,2016,28.2952,2000,70.6834,,6,85,2873.3759,33.8044
10,8,2016,27.9746,2000,71.4934,,5,81,2736.2869,33.7813
11,8,2016,27.8298,2000,71.8654,,11,82,2768.0975,33.7573
12,8,2016,27.9064,2000,71.6681,,13,82,2761.7666,33.6801
16,8,2016,27.7947,2000,71.9562,,12,84,2801.7839,33.3546
17,8,2016,28.0073,2000,71.41,,4,80,2663.3183,33.2915
18,8,2016,28.2709,2000,70.7441,,10,80,2659.0427,33.238
19,8,2016,28.4965,2000,70.1841,,2,75,2471.2247,32.9497
22,8,2016,28.5345,2000,70.0906,,,,,
23,8,2016,28.669,2000,69.7618,,,,,
24,8,2016,28.8401,2000,69.3479,,,,,
25,8,2016,28.9131,2000,69.1728,,,,,
26,8,2016,28.8309,2000,69.37,,,,,
29,8,2016,28.766,2000,69.5265,,,,,
30,8,2016,29.0702,2000,68.799,,,,,
31,8,2016,29.1827,2000,68.5338,,,,,
1,9,2016,29.1162,2000,68.6903,,,,,
2,9,2016,29.3469,2000,68.1503,,,,,
6,9,2016,29.6331,2000,67.4921,,,,,
7,9,2016,29.7103,2000,67.3167,,,,,
8,9,2016,30.0481,2000,66.5599,,,,,
9,9,2016,29.78,2000,67.1592,,,,,
12,9,2016,29.1599,2000,68.5873,,,,,
14,9,2016,29.5912,2000,67.5877,,,,,
15,9,2016,29.7718,2000,67.1777,,,,,
16,9,2016,29.7702,2000,67.1813,,,,,
19,9,2016,29.9993,2000,66.6682,,,,,
20,9,2016,29.986,2000,66.6978,,,,,
21,9,2016,30.0691,2000,66.5135,,,,,
22,9,2016,30.2928,2000,66.0223,,,,,
23,9,2016,30.222,2000,66.177,,,,,
26,9,2016,30.259,2000,66.096,,,,,
27,9,2016,30.2284,2000,66.1629,,,,,
28,9,2016,30.4428,2000,65.697,,,,,
29,9,2016,29.1606,2000,68.5857,,,,,
30,9,2016,29.7125,2000,67.3117,,,,,
3,10,2016,30.4272,2000,65.7307,,,,,
4,10,2016,30.8303,2000,64.8712,,,,,
5,10,2016,31.1041,2000,64.3002,,,,,
6,10,2016,31.0419,2000,64.429,,,,,
7,10,2016,31.0488,2000,64.4147,,,,,
10,10,2016,31.2211,2000,64.0592,,,,,
13,10,2016,30.6582,2000,65.2354,,,,,
14,10,2016,31.0735,2000,64.3635,,,,,
17,10,2016,30.9764,2000,64.5653,,,,,
18,10,2016,31.5057,2000,63.4806,,,,,
19,10,2016,31.6578,2000,63.1756,,,,,
20,10,2016,31.93,2000,62.637,,,,,
21,10,2016,31.9084,2000,62.6794,,,,,
24,10,2016,32.0722,2000,62.3593,,,,,
25,10,2016,32.0855,2000,62.3335,,,,,
26,10,2016,31.9678,2000,62.563,,,,,
27,10,2016,31.82,2000,62.8536,,,,,
28,10,2016,32.0857,2000,62.3331,,,,,
1,11,2016,32.2525,2000,62.0107,,,,,
2,11,2016,31.6288,2000,63.2335,,,,,
3,11,2016,31.2326,2000,64.0357,,,,,
4,11,2016,30.7379,2000,65.0663,,,,,
7,11,2016,31.2431,2000,64.0141,,,,,
8,11,2016,31.1976,2000,64.1075,,,,,
9,11,2016,30.5639,2000,65.4367,,,,,
10,11,2016,31.0077,2000,64.5001,,,,,
11,11,2016,29.9199,2000,66.8451,,,,,
15,11,2016,28.5417,2000,70.0729,,,,,
16,11,2016,28.5645,2000,70.017,,,,,
17,11,2016,28.4196,2000,70.374,,,,,
18,11,2016,28.5201,2000,70.126,,,,,
21,11,2016,27.5783,2000,72.5208,,,,,
22,11,2016,27.8363,2000,71.8486,,,,,
23,11,2016,28.3772,2000,70.4791,,,,,
24,11,2016,28.4007,2000,70.4208,,,,,
25,11,2016,28.9264,2000,69.141,,,,,
28,11,2016,29.1549,2000,68.5991,,,,,
29,11,2016,29.3043,2000,68.2494,,,,,
30,11,2016,29.7929,2000,67.1301,,,,,
1,12,2016,29.5886,2000,67.5936,,,,,
2,12,2016,29.1835,2000,68.5319,,,,,
5,12,2016,29.2083,2000,68.4737,,,,,
