Date,Month,Year,NAV,Amount_Invested,Units_Bought,,Date,occurances,total units,Avg_Units_Per_Occurrence
8,7,2014,14.6602,1000,68.2119,,1,93,3140.9662,33.7738
9,7,2014,14.5514,1000,68.7219,,2,89,2861.1235,32.1476
10,7,2014,14.4947,1000,68.9907,,3,98,3204.9377,32.7034
11,7,2014,14.2041,1000,70.4022,,4,97,3180.5143,32.7888
14,7,2014,14.216,1000,70.3433,,5,98,3260.3169,33.2685
15,7,2014,14.4261,1000,69.3188,,6,98,3119.7185,31.8339
16,7,2014,14.6046,1000,68.4716,,7,96,3171.9205,33.0408
17,7,2014,14.7858,1000,67.6325,,8,100,3391.1108,33.9111
18,7,2014,14.832,1000,67.4218,,9,102,3425.2271,33.5811
21,7,2014,14.8651,1000,67.2717,,10,98,3275.9294,33.4279
22,7,2014,14.8192,1000,67.4802,,11,99,3291.2591,33.245
23,7,2014,14.7925,1000,67.6018,,12,99,3212.4799,32.4493
24,7,2014,14.8635,1000,67.2789,,13,98,3196.8253,32.6209
25,7,2014,14.7349,1000,67.8661,,14,89,2995.0735,33.6525
28,7,2014,14.6928,1000,68.0605,,15,89,3002.9352,33.7408
30,7,2014,14.6067,1000,68.4617,,16,102,3412.3429,33.4543
31,7,2014,14.5541,1000,68.7092,,17,97,3219.1886,33.1875
1,8,2014,14.4505,1000,69.2018,,18,100,3357.5927,33.5759
4,8,2014,14.4983,1000,68.9736,,19,97,3197.3118,32.962
5,8,2014,14.5281,1000,68.8321,,20,98,3274.5358,33.4136
6,8,2014,14.4394,1000,69.2554,,21,95,3189.9831,33.5788
7,8,2014,14.3763,1000,69.5589,,22,100,3361.2572,33.6126
8,8,2014,14.2103,1000,70.3715,,23,101,3324.2337,32.9132
11,8,2014,14.2756,1000,70.0496,,24,98,3206.4558,32.7189
12,8,2014,14.2497,1000,70.1769,,25,88,2851.9695,32.4087
13,8,2014,14.0822,1000,71.0116,,26,89,2988.7815,33.5818
14,8,2014,14.1563,1000,70.6399,,27,101,3366.8695,33.3353
18,8,2014,14.4029,1000,69.4305,,28,98,3289.7991,33.5694
19,8,2014,14.5322,1000,68.8127,,29,90,2994.7151,33.2746
20,8,2014,14.5899,1000,68.5406,,30,91,3023.6936,33.2274
21,8,2014,14.6151,1000,68.4224,,31,58,1902.3773,32.7996
22,8,2014,14.5703,1000,68.6328,,,,,
25,8,2014,14.4776,1000,69.0722,,,,,
26,8,2014,14.433,1000,69.2857,,,,,
27,8,2014,14.5243,1000,68.8501,,,,,
28,8,2014,14.5063,1000,68.9356,,,,,
1,9,2014,14.5886,1000,68.5467,,,,,
2,9,2014,14.7742,1000,67.6856,,,,,
3,9,2014,14.7603,1000,67.7493,,,,,
4,9,2014,14.7548,1000,67.7746,,,,,
